word,definition
flicker,to appear for a short time or to make a sudden movement:
foreground,"the part of a view that is nearest to the observer, especially in a picture or photograph."
formless,without a clear or definite shape or structure
fright,a sudden intense feeling of fear.
frighten,make (someone) afraid or anxious.
frightened,feeling fear : made to feel afraid
frightening,make (someone) afraid or anxious.
generate,"cause (something, especially an emotion or situation) to arise or come about."
ghastly,terrifyingly horrible to the senses : frightening
ghastly,"If you describe someone or something as ghastly, you mean that you find them very unpleasant or shocking."
ghastly,resembling a ghost
ghastly,"intensely unpleasant, disagreeable, or objectionable"
ghost,"an apparition of a dead person which is believed to appear or become manifest to the living, typically as a nebulous image."
ghostly,of or like a ghost in appearance or sound; eerie and unnatura
ghostly,of or like a ghost in appearance or sound; eerie and unnatural.
giant,an imaginary or mythical being of human form but superhuman size
giant,of very great size or force
gigantic,of very great size or extent; huge or enormous
gloom,partial or total darkness
gloom,a state of depression
gloomy,dark or dim; deeply shaded:
gloomy,feeling distressed or pessimistic.
gloomy,causing distress or depression
glorious,having a striking beauty or splendor that evokes feelings of delighted admiration
glorious,"having, worthy of, or bringing fame or admiration."
gorgeous,beautiful; very attractive
great,"of an extent, amount, or intensity considerably above the normal or average"
greedy,"having or showing an intense and selfish desire for something, especially wealth or power."
grotesque,extremely ugly and strange
grotesque,"unreasonable, or offensive"
grotesque,"departing markedly from the natural, the expected, or the typical"
grotesque,comically or repulsively ugly or distorted
harrowing,extremely upsetting or disturbing.
haunt,(of a ghost) manifest itself at (a place) regularly.
haunt,a place frequented by a specified person or group of people.
haunting,(of a ghost) manifest itself at (a place) regularly.
haunting,be persistently and disturbingly present in (something).
haunting,be persistently in the mind of (someone)
haze,covered by a haze
haze,fog 
haze,a state of mental obscurity or confusion
hazy,"vague, indistinct, or ill-defined"
hint,a slight or indirect indication or suggestion
horrible,causing or likely to cause horror; shocking.
horribly,in a way that causes horror; shockingly.
hostile,"not friendly, warm, or generous; not hospitable."
huge,of considerable importance or seriousness
huge,extremely large; enormous
hulking,"a person or object that is extremely large, heavy, or slow-moving, especially when they seem threatening in some way."
impenetrable,incapable of being comprehended
impressive,"evoking admiration through size, quality, or skill; grand, imposing, or awesome"
impressively,"in a way that evokes admiration through size, quality, or skill"
incalculable,too great to be calculated or estimated.
incoherent,lacking normal clarity or intelligibility in speech or thought
incomparable,without an equal in quality or extent; matchless.
inconceivable,not capable of being imagined or grasped mentally; unbelievable
incredulous,(of a person or their manner) unwilling or unable to believe something
indecipherable,"impossible to decode, read, understand or comprehend."
indefinable,not able to be defined or described exactly.
indefinite,not clearly expressed or defined; vague
indefinite,lasting for an unknown or unstated length of time
indefinitely,for an unlimited or unspecified period of time
indefinitely,to an unlimited or unspecified degree or extent.
indeterminate,"not exactly known, established, or defined"
indiscernible,impossible to see or clearly distinguish
indistinguishably,not clearly recognizable or understandable
indistinguishably,lacking identifying or individualizing qualities
ineffable,too great or extreme to be expressed or described in words
inexplicable,"If something is inexplicable, you cannot explain why it happens or why it is true"
insidious,unpleasant or dangerous and develops gradually without being noticed.
insolent,showing a rude and arrogant lack of respect.
insulting,giving or intended to give offense
intolerable,unable to be endured.
intriguing,arousing one's curiosity or interest; fascinating.
leaden,"dull, heavy, or slow."
magical,beautiful or delightful in such a way as to seem removed from everyday life
majestic,having or showing impressive beauty or dignity.
malevolence,"having, showing, or arising from intense often vicious ill will, spite, or hatred"
malice,the intention or desire to do evil; ill will.
marvellous,extremely good or pleasing; splendid
marvellous,causing great wonder; extraordinary
massive,exceptionally large
massive,large and heavy or solid
melancholy,"a feeling of sadness, typically with no obvious cause."
menacing,suggesting the presence of danger; threatening.
miserable,(of a person) wretchedly unhappy or uncomfortable.
miserable,pitiably small or inadequate.
mist,something that obscures understanding
mist,water in the form of particles floating or falling in the atmosphere at or near the surface of the earth and approaching the form of rain
mistaken,wrong in one's opinion or judgment
mistaken,(especially of a belief) based on or resulting from a misunderstanding or faulty judgment
monstrous,having the ugly or frightening appearance of a monster
monstrous,extremely and dauntingly large
monstrous,having the ugly or frightening appearance of a monster.
monstrous,outrageously evil or wrong.
monstrous,extremely and dauntingly large.
morbid,"characterized by an unusual interest in disturbing and unpleasant subjects, especially death and disease."
muddy,covered in or full of mud
muddy,to make a situation more confusing or difficult
muffled,obstructed in some way; muted
murky,"dark and gloomy, especially due to thick mist"
murky,"dark and gloomy, "
murky,"not fully explained or understood, especially with concealed dishonesty or immorality."
murky,"not fully explained or understood, especially with concealed dishonesty or immorality"
murmur,"say something in a low, soft, or indistinct voice"
murmur,"a soft, indistinct sound made by a person or group of people speaking quietly or at a distance"
mysterious,Someone or something that is mysterious is strange and is not known about or understood.
mysterious,"difficult or impossible to understand, explain, or identify"
mysterious,strange and is not known about or understood.
nebulous,"unclear, vague, or ill-defined"
nightmare,a terrifying or very unpleasant experience or prospect
nightmare,a frightening or unpleasant dream
normandy,a region in Northern France along the English Channel
obscene,offensive or disgusting by accepted standards of morality and decency.
obscure,not discovered or known about; uncertain
obscurely,in a way that is not clear or is difficult to understand or see:
obscurity,in a way that is not clear or is difficult to understand or see
oddly,in a way that is different from what is usual or expected;
oppressive,weighing heavily on the mind or spirits; causing depression or discomfort.
overwhelming,You can use overwhelming to emphasize that an amount or quantity is much greater than other amounts or quantities.
overwhelming,"If something is overwhelming, it affects you very strongly, and you do not know how to deal with it."
pasquinade,"a satire or lampoon, originally one displayed or delivered publicly in a public place"
pathetic,miserably inadequate; of very low standard.
peculiar,strange or odd; unusual
peculiarly,in a strange or unusual way
phantom,a figment of the imagination
phantom,a figment of the imagination.
phantom,a ghost
pitful,"Someone or something that is pitiful is so sad, weak, or small that you feel pity for them."
portentous,"a sign or warning that something, especially something momentous or calamitous, is likely to happen."
profound,the vast depth of the ocean or of the mind
profound,"(of a state, quality, or emotion) very great or intense"
proprietor,"the owner of a business, or a holder of property"
puzzled,unable to understand
radiate,diverge or spread from or as if from a central point.
rare,"(of an event, situation, or condition) not occurring very often"
rare,unusually good or remarkable
remarkable,worthy of attention; striking
rotten,"morally, socially, or politically corrupt"
rotten,suffering from decay
savage,a brutal or vicious person.
savage,(of something bad or negative) very great; severe.
savage,"of an animal or force of nature) fierce, violent, and uncontrolled."
scarcely,by a narrow margin
scarcely,hardly
scare,cause great fear or nervousness in; frighten.
scared,fearful; frightened.
scornful,full of scorn. Scorn: the feeling or belief that someone or something is worthless.
shadow,"used in reference to proximity, ominous oppressiveness, or sadness and gloom"
shadow,envelop in shadow; cast a shadow over
shadow, dark area or shape produced by a body coming between rays of light and a surface
shadow,follow and observe (someone) closely and secretly
shadowy,of the nature of or resembling a shadow
shadowy,full of shadows
shadowy,"of questionable merit : UNCERTAIN, UNRELIABLE"
shadowy,of doubtful honesty or legality
shadowy,of uncertain identity or nature
singularly,in a strange or eccentric way
singularly,in a remarkable or noticeable way
sinister,evil or criminal.
sinister,giving the impression that something harmful or evil is happening or will happen.
slander,make false and damaging statements about (someone).
solidarity,"unity or agreement of feeling or action, especially among individuals with a common interest; mutual support within a group."
splendid,magnificent; very impressive
startling,surprising and sometimes worrying
startling,"very surprising, astonishing, or remarkable."
startlingly,"in a very surprising, astonishing, or remarkable way"
strange,unusual or surprising in a way that is unsettling or hard to understand.
strange,unusual or surprising in a way that is unsettling or hard to understand
strange,"not previously visited, seen, or encountered; unfamiliar or alien"
subterfuge,deceit used in order to achieve one's goal.
sullen,bad-tempered and sulky; gloomy.
surprise,"an unexpected or astonishing event, fact, or thing"
surprised,"If you are surprised at something, you have a feeling of surprise, because it is unexpected or unusual"
surprising,of a nature that excites
surprisingly,in an unusual or unexpected way - sometimes worrying
terrible,extremely unpleasant or disagreeable.
terrified,cause to feel extreme fear.
teutonic,relating to German people
thrilling,causing excitement and pleasure; exhilarating
tragic,causing or characterized by extreme distress or sorrow.
transpire,occur; happen
tremendous,"very great in amount, scale, or intensity"
tremendous,extremely good or impressive; excellent
truculent,eager or quick to argue or fight; aggressively defiant.
ultimate,You use ultimate to describe the best possible example of a particular thing.
ultimate,You use ultimate to describe the original source or cause of something.
unbelievable,so great or extreme as to be difficult to believe; extraordinary
unbelievable,unlikely to be true
uncertain,not able to be relied on; not known or definite
uncertain,(of a person) not completely confident or sure of something
uncertainly,gradually grow faint and disappear. Doubt
uncertainty,Feelings of worry and nervousness
uncivilized,"(of a place or people) not considered to be socially, culturally, or morally advanced."
uncivilized,impolite; bad-mannered.
undefined,"not clearly or precisely shown or described, "
underhand,acting or done in a secret or dishonest way.
uneasy,causing or feeling anxiety; troubled or uncomfortable.
unexpected,not expected or regarded as likely to happen
unfathomable,incapable of being fully explored or understood
unforgettable,"If you describe something as unforgettable, you mean that it is, for example, extremely beautiful, enjoyable, or unusual, so that you remember it for a long time. You can also refer to extremely unpleasant things as unforgettable"
unknown,"not within the range of one's knowledge, experience, or understanding; strange; unfamiliar."
unpleasant,"causing discomfort, unhappiness, or revulsion; disagreeable."
unprecedented,"If something is unprecedented, it has never happened before"
unreal,"lacking in reality, substance, or genuineness "
unreal,so strange as to appear imaginary; not seeming real
unscrupulously,having or showing no moral principles; not honest or fair.
unusual,remarkable or interesting because different from or better than others
unusually,in a way that is not habitual or common
unutterably,"You can use unutterable to emphasize that something, especially a bad quality, is great in degree or intensity."
vague,"of uncertain, indefinite, or unclear character or meaning"
vaguely,"in a way that is uncertain, indefinite or unclear; "
vast,of very great extent or quantity; immense.
vestibule,"an antechamber, hall, or lobby next to the outer door of a building"
villainous,"relating to, constituting, or guilty of wicked or criminal behavior."
violent,"using or involving physical force intended to hurt, damage, or kill someone or something."
vulgar,indecent; obscene; lewd:
vulgar,"lacking in cultivation, perception, or taste "
wonder,a cause of astonishment or admiration
wonderful,"inspiring delight, pleasure, or admiration; extremely good; marvelous"
